35222395,LPIN1 Is a Regulatory Factor Associated With Immune Response and Inflammation in Sepsis,"Abstract                        Objectives:                    Sepsis is a clinical disease that is typically treated in the intensive care unit, and the complex pathophysiology under this disease has not been thoroughly understood. While ferroptosis is involved in inflammation and infection, its effect in sepsis is still unknown. The study aimed to identify ferroptosis-related genes in sepsis, providing translational potential therapeutic targets.              Methods:                    The dataset GSE65682 was used to download the sample source from the Gene Expression Omnibus (GEO) database. Consensus weighted gene co-expression network analysis (WGCNA) was performed to find suspected modules of sepsis. The differentially expressed genes (DEGs) most significantly associated with mortality were intersected with those altered by lipopolysaccharide (LPS) treatment and were further analyzed for the identification of main pathways of Gene Ontology (GO) and Kyoto Encyclopedia of Genes and Genomes (KEGG) analysis. The related pathway markers were further verified by qPCR.              Results:                    A total of 802 blood samples with sepsis were included for WGCNA, which identified 21 modules. Intersected with ferroptosis databases and LPS treatment groups, we identified two ferroptosis-related genes: PEBP1 and LPIN1. Only LPIN1 contributes to a poor outcome. Then, 205 DEGs were further identified according to the high or low LPIN1 expression. Among them, we constructed a gene regulatory network with several transcriptional factors using the NetworkAnalyst online tool and identified that these genes mostly correlate with inflammation and immune response. The immune infiltration analysis showed that lower expression of LPIN1 was related to macrophage infiltration and could be an independent predictor factor of the survival status in sepsis patients. Meanwhile, the multivariate Cox analysis showed that LPIN1 had a significant correlation with survival that was further verified by in vitro and in vivo experiments.              Conclusion:                    In conclusion, LPIN1 could become a reliable biomarker for patient survival in sepsis, which is associated with immune and inflammation status.              Keywords:                    LPIN1; NF-κB; immune infiltration; inflammation; sepsis."
34772856,LPIN1 is a new target gene for essential hypertension,"Abstract                        Background:                    We previously showed Lipin1 (LPIN1) to be a candidate gene for essential hypertension by genome-wide association studies. LPIN1 encodes the Lipin 1 protein, which contributes to the maintenance of lipid metabolism and glucose homeostasis. However, little is known about the association between LPIN1 and blood pressure (BP).              Methods:                    We evaluated the BP of LPIN1-deficient [fatty liver dystrophy (fld)] mice and explored related mechanisms.              Results:                    Fld mice have very low expression of LPIN1 and exhibit fatty liver, hypertriglyceridemia, insulin resistance and peripheral neuropathy. Fld mice had significantly elevated SBP and heart rate (HR) throughout the day as measured by a radiotelemetric method. Diurnal variation of SBP and HR was also absent in fld mice. Furthermore, urinary excretion of adrenaline and noradrenaline by fld mice was significantly higher compared with that of control mice. The BP response of fld mice to clonidine (a centrally acting α2-adrenergic receptor agonist) was greater than that of control mice. However, levels of Angiotensinogen and Renin 1 mRNA and urinary nitric oxide excretion were comparable between the two groups. The decrease in SBP at 8 weeks after fat grafting surgery was significantly greater in the transplant group compared with the sham operated group.              Conclusion:                    The elevated BP in fld mice may result from activation of the sympathetic nervous system through decreased levels of adipose cytokines. These results indicate that LPIN1 plays a crucial role in blood pressure regulation and that LPIN1 is a new target gene for essential hypertension."
33190588,TXNIP/VDUP1 attenuates steatohepatitis via autophagy and fatty acid oxidation,"Abstract:Impaired macroautophagy/autophagy has been implicated in experimental and human nonalcoholic steatohepatitis (NASH). However, the mechanism underlying autophagy dysregulation in NASH is largely unknown. Here, we investigated the role and mechanism of TXNIP/VDUP1 (thioredoxin interacting protein), a key mediator of cellular stress responses, in the pathogenesis of NASH. Hepatic TXNIP expression was upregulated in nonalcoholic fatty liver disease (NAFLD) patients and in methionine choline-deficient (MCD) diet-fed mice, as well as in palmitic acid (PA)-treated hepatocytes. Upregulation of hepatic TXNIP was positively correlated with impaired autophagy, as evidenced by a decreased number of MAP1LC3B/LC3B (microtubule-associated protein 1 light chain 3 beta) puncta and increased SQSTM1/p62 (sequestosome 1) expression. Deletion of the Txnip gene enhanced hepatic steatosis, inflammation, and fibrosis, accompanied by impaired autophagy and fatty acid oxidation (FAO) in MCD diet-fed mice. Mechanistically, TXNIP directly interacted with and positively regulated p-PRKAA, leading to inactivation of MTOR (mechanistic target of rapamycin kinase) complex 1 (MTORC1) and nuclear translocation of TFEB (transcription factor EB), which in turn promoted autophagy. Inhibition of MTORC1 by rapamycin induced autophagy and increased the expression levels of FAO-related genes and concomitantly attenuated lipid accumulation in PA-treated txnip-knockout (KO) hepatocytes, which was further abolished by silencing of Atg7. Rapamycin treatment also attenuated MCD diet-induced steatosis, inflammation, and fibrosis with increased TFEB nuclear translocation and restored FAO in txnip-KO mice. Our findings suggest that elevated TXNIP ameliorates steatohepatitis by interacting with PRKAA and thereby inducing autophagy and FAO. Targeting TXNIP may be a potential therapeutic approach for NASH.Abbreviations: ACOX1: acyl-Coenzyme A oxidase 1, palmitoyl; ACSL1: acyl-CoA synthetase long-chain family member 1; ACTA2/α-SMA: actin, alpha 2, smooth muscle, aorta; ACTB: actin beta; ADGRE1/F4/80: adhesion G protein-coupled receptor E1; AMPK: AMP-activated protein kinase; ATG: autophagy-related; BafA1: bafilomycin A1; COL1A1/Col1α1: collagen, type I, alpha 1; CPT1A: carnitine palmitoyltransferase 1a, liver; CQ: chloroquine; DGAT1: diacylglycerol O-acyltransferase 1; DGAT2: diacylglycerol O-acyltransferase 2; ECI2/Peci: enoyl-Coenzyme A isomerase 2; EHHADH: enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase; FAO: fatty acid oxidation; FASN: fatty acid synthase; FFA: free fatty acids; GFP: green fluorescent protein; GK/GYK: glycerol kinase; GOT1/AST: glutamic-oxaloacetic transaminase 1, soluble; GPAM: glycerol-3-phosphate acyltransferase, mitochondrial; GPT/ALT: glutamic pyruvic transaminase, soluble; H&E: hematoxylin and eosin; IL1B/IL-1β: interleukin 1 beta; IL6: interleukin 6; IOD: integral optical density; KO: knockout; Leu: leupeptin; LPIN1: lipin 1; MAP1LC3B/LC3B: microtubule-associated protein 1 light chain 3 beta; MCD: methionine choline-deficient; MMP9: matrix metallopeptidase 9; mRNA: messenger RNA; MTORC1: mechanistic target of rapamycin kinase complex 1; NAFLD: nonalcoholic fatty liver diseases; NASH: nonalcoholic steatohepatitis; PA: palmitic acid; PPARA/PPARα: peroxisome proliferator activated receptor alpha; PPARG/PPARγ: peroxisome proliferator activated receptor gamma; qRT-PCR: quantitative real-time PCR; RPS6KB1/p70S6K1: ribosomal protein S6 kinase, polypeptide 1; RPTOR: regulatory associated protein of MTOR complex 1; SCD1: stearoyl-Coenzyme A desaturase 1; SEM: standard error of the mean; siRNA: small interfering RNA; SQSTM1/p62: sequestosome 1; TFEB: transcription factor EB; TG: triglyceride; TGFB/TGF-β: transforming growth factor, beta; TIMP1: tissue inhibitor of metalloproteinase 1; TNF/TNF-α: tumor necrosis factor; TXNIP/VDUP1: thioredoxin interacting protein; WT: wild-type.              Keywords:                    Lipid metabolism; MAP1LC3B; NASH; PRKAA; SQSTM1; liver."
34270928,FXR activation protects against NAFLD via bile-acid-dependent reductions in lipid absorption,"Abstract:FXR agonists are used to treat non-alcoholic fatty liver disease (NAFLD), in part because they reduce hepatic lipids. Here, we show that FXR activation with the FXR agonist GSK2324 controls hepatic lipids via reduced absorption and selective decreases in fatty acid synthesis. Using comprehensive lipidomic analyses, we show that FXR activation in mice or humans specifically reduces hepatic levels of mono- and polyunsaturated fatty acids (MUFA and PUFA). Decreases in MUFA are due to FXR-dependent repression of Scd1, Dgat2, and Lpin1 expression, which is independent of SHP and SREBP1c. FXR-dependent decreases in PUFAs are mediated by decreases in lipid absorption. Replenishing bile acids in the diet prevented decreased lipid absorption in GSK2324-treated mice, suggesting that FXR reduces absorption via decreased bile acids. We used tissue-specific FXR KO mice to show that hepatic FXR controls lipogenic genes, whereas intestinal FXR controls lipid absorption. Together, our studies establish two distinct pathways by which FXR regulates hepatic lipids.              Keywords:                    FXR; NAFLD; bile acids; intestinal lipid absorption."
35149744,LPIN1 promotes triglycerides synthesis and is transcriptionally regulated by PPARG in buffalo mammary epithelial cells,"Abstract:Studies on 3T3-L1 cells and HepG2 hepatocytes have shown that phosphatidic acid phosphohydrolase1 (LPIN1) plays a key role in adipogenesis, acting as a co-activator of peroxisome proliferator-activated receptor gamma coactivator 1a (PGC-1a) to regulate fatty acid metabolism. However, the functional role and regulatory mechanism of LPIN1 gene in milk fat synthesis of buffalo are still unknown. In this study, overexpression of buffalo LPIN1 gene transfected with recombinant fusion expression vector significantly increased the expression of AGPAT6, DGAT1, DGAT2, GPAM and BTN1A1 genes involved in triglyceride (TAG) synthesis and secretion, as well as PPARG and SREBF1 genes regulating fatty acid metabolism in the buffalo mammary epithelial cells (BMECs), while the lentivirus-mediated knockdown of buffalo LPIN1 dramatically decreased the relative mRNA abundance of these genes. Correspondingly, total cellular TAG content in the BMECs increased significantly after LPIN1 overexpression, but decreased significantly after LPIN1 knockdown. In addition, the overexpression or knockdown of PPARG also enhanced or reduced the expression of LPIN1 and the transcriptional activity of its promoter. The core region of buffalo LPIN1 promoter spans from - 666 bp to + 42 bp, and two PPAR response elements (PPREs: PPRE1 and PPRE2) were identified in this region. Site mutagenesis analysis showed that PPARG directly regulated the transcription of buffalo LPIN1 by binding to the PPRE1 and PPRE2 on its core promoter. The results here reveal that the LPIN1 gene is involved in the milk fat synthesis of BMECs, and one of the important pathways is to participate in this process through direct transcriptional regulation of PPARG, which in turn significantly affects the content of TAG in BMECs."
33946554,IL-33-Induced Transcriptional Activation of LPIN1 Accelerates Breast Tumorigenesis,"Abstract:Phospholipids are crucial materials that are not only required for cell membrane construction but also play significant roles as signaling molecules. LPIN1 is an enzyme that displays phosphatidate phosphatase activity in the triglyceride and phospholipid synthesis pathway. Recent studies have shown that overexpression of LPIN1 is involved in breast tumorigenesis, but the underlying mechanism regulating LPIN1 expression has not been elucidated yet. In the present study, we showed that the IL-33-induced COT-JNK1/2 signaling pathway regulates LPIN1 mRNA and protein expression by recruiting c-Jun to the LPIN1 promoter in breast cancer cells. IL-33 dose-dependently and time-dependently increased LPIN1 mRNA and protein expression. Moreover, IL-33 promoted colony formation and mammary tumorigenesis via induction of LPIN1 expression, while inhibition of LPIN1 disturbed IL-33-induced cell proliferation and mammary tumorigenesis. IL-33-driven LPIN1 expression was mediated by the COT-JNK1/2 signaling pathway, and inhibition of COT or JNK1/2 reduced LPIN1 expression. COT-JNK1/2-mediated IL-33 signaling activated c-Jun and promoted its binding to the promoter region of LPIN1 to induce LPIN1 expression. These findings demonstrated the regulatory mechanism of LPIN1 transcription by the IL-33-induced COT/JNK1/2 pathway for the first time, providing a potential mechanism underlying the upregulation of LPIN1 in cancer.              Keywords:                    COT; IL-33; JNK1/2; LPIN1; c-Jun."
35242575,LPIN1 rhabdomyolysis: A single site cohort description and treatment recommendations,"Abstract:Individuals with LPIN1 deficiency have early recurrent, life-threatening rhabdomyolysis but the full phenotypic spectrum and optimal treatment of the disorder remains unknown. Here we report the clinical details and treatment outcomes of 6 patients from our health system. The average age of presentation in our cohort was 23.8 months ±11.6 months (range 15-46 months). The average number of days for each hospitalization for this cohort is 11.7±13.2 days. Creatinine kinase (CK) levels peak during our care averaged 607,725 units/L (range 157,000-1,100,000 units/L). We observed that aspartate aminotransferase levels paralleled the CK levels in its elevation and resolution (Pearson's correlation R = 0.995); while alanine aminotransferase paralleled the elevation but lagged in the resolution of CK levels (R = 0.728). Unlike historical accounts, in our patient population, rhabdomyolysis was sometimes seen without inciting viral or traumatic events. We also cared for multiple individuals that had received treatment at other centers. This allowed us to compare multiple practice approaches and led to a standardized Care Recommendations.              Keywords:                    LPIN1; Rhabdomyolysis."
35565351,LPIN1 Induces Gefitinib Resistance in EGFR Inhibitor-Resistant Non-Small Cell Lung Cancer Cells,"Abstract:Drug resistance limits the efficacy of targeted therapies, including tyrosine kinase inhibitors (TKIs); however, a substantial portion of the drug resistance mechanisms remains unexplained. In this study, we identified LPIN1 as a key factor that regulates gefitinib resistance in epidermal growth factor receptor (EGFR)-mutant non-small cell lung cancer (NSCLC) cells. Unlike TKI-sensitive HCC827 cells, gefitinib treatment induced LPIN1 expression and increased diacylglycerol concentration in TKI-resistant H1650 cells, followed by the activation of protein kinase C delta and nuclear factor kappa B (NF-κB) in an LPIN1-dependent manner, resulting in cancer cell survival. Additionally, LPIN1 increased the production of lipid droplets, which play an important role in TKI drug resistance. All results were recapitulated in a patient-derived EGFR-mutant NSCLC cell line. In in vivo tumorigenesis assay, we identified that both shRNA-mediated depletion and pharmaceutical inhibition of LPIN1 clearly reduced tumor growth and confirmed that gefitinib treatment induced LPIN1 expression and LPIN1-dependent NF-κB activation (an increase in p-IκBα level) in tumor tissues. These results suggest an effective strategy of co-treating TKIs and LPIN1 inhibitors to prevent TKI resistance in NSCLC patients.              Keywords:                    LPIN1; drug resistance; gefitinib; non-small cell lung cancer; tyrosine kinase inhibitors."
34602496,A 20-year Clinical and Genetic Neuromuscular Cohort Analysis in Lebanon: An International Effort,"Abstract                        Background:                    Clinical and molecular data on the occurrence and frequency of inherited neuromuscular disorders (NMD) in the Lebanese population is scarce.              Objective:                    This study aims to provide a retrospective overview of hereditary NMDs based on our clinical consultations in Lebanon.              Methods:                    Clinical and molecular data of patients referred to a multi-disciplinary consultation for neuromuscular disorders over a 20-year period (1999-2019) was reviewed.              Results:                    A total of 506 patients were diagnosed with 62 different disorders encompassing 10 classes of NMDs. 103 variants in 49 genes were identified. In this cohort, 81.4% of patients were diagnosed with motor neuron diseases and muscular dystrophies, with almost half of these described with spinal muscular atrophy (SMA) (40.3% of patients). We estimate a high SMA incidence of 1 in 7,500 births in Lebanon. Duchenne and Becker muscular dystrophy were the second most frequently diagnosed NMDs (17% of patients). These disorders were associated with the highest number of variants (39) identified in this study. A highly heterogeneous presentation of Limb Girdle Muscular Dystrophy and Charcot-Marie-Tooth disease was notably identified. The least common disorders (5.5% of patients) involved congenital, metabolic, and mitochondrial myopathies, congenital myasthenic syndromes, and myotonic dystrophies. A review of the literature for selected NMDs in Lebanon is provided.              Conclusions:                    Our study indicates a high prevalence and underreporting of heterogeneous forms of NMDs in Lebanon- a major challenge with many novel NMD treatments in the pipeline. This report calls for a regional NMD patient registry.              Keywords:                    CMT; DMD; FSHD; Genetics; LGMD; Lebanon; SMA; neuromuscular."
33274548,LPIN1 downregulation enhances anticancer activity of the novel HDAC/PI3K dual inhibitor FK-A11,"Abstract:Phosphatidylinositol-3 kinase (PI3K) inhibitor and histone deacetylase (HDAC) inhibitor have been developed as potential anticancer drugs. However, the cytotoxicity of PI3K inhibitor or HDAC inhibitor alone is relatively weak. We recently developed a novel HDAC/PI3K dual inhibitor FK-A11 and confirmed its enhanced cytotoxicity when compared to that of PI3K inhibitor or HDAC inhibitor alone on several cancer cell lines. However, the in vivo antitumor activity of FK-A11 was insufficient. We conducted high-throughput RNA interfering screening and identified gene LPIN1 which enhances the cytotoxicity of FK-A11. Downregulation of LPIN1 enhanced simultaneous inhibition of HDAC and PI3K by FK-A11 and enhanced the cytotoxicity of FK-A11. Propranolol, a beta-adrenoreceptor which is also a LPIN1 inhibitor, enhanced the in vitro and in vivo cytotoxicity and antitumor effect of FK-A11. These findings should help in the development of FK-A11 as a novel HDAC/PI3K dual inhibitor.              Keywords:                    LPIN1; dual HDAC/PI3K inhibitor; histone deacetylase; phosphatidylinositol-3 kinase; propranolol."
